County,Susan Crawford,,Brad Schimel,,Scattering votes,,Margin,,Total votes cast
Marathon,"23,964",44.91%,"29,369",55.04%,29,0.05%,"−5,405",−10.13%,"53,362"
Marinette,"5,656",36.02%,"10,031",63.88%,16,0.10%,"−4,375",−27.86%,"15,703"
Marquette,"2,529",39.51%,"3,870",60.46%,2,0.03%,"−1,341",−20.95%,"6,401"
Menominee,837,81.42%,191,18.58%,0,0.00%,646,62.84%,"1,028"
Milwaukee,"227,345",74.57%,"77,299",25.35%,241,0.08%,"150,046",49.22%,"304,885"
Monroe,"6,663",44.40%,"8,340",55.57%,4,0.03%,"−1,677",−11.17%,"15,007"
Oconto,"5,386",32.30%,"11,279",67.64%,11,0.06%,"−5,893",−35.34%,"16,676"
Oneida,"7,733",45.57%,"9,222",54.34%,16,0.09%,"−1,488",−8.77%,"16,971"
Outagamie,"37,732",50.67%,"36,740",49.33%,0,0.00%,992,1.34%,"74,472"
Ozaukee,"22,814",48.35%,"24,352",51.61%,21,0.04%,"−1,538",-3.26%,"47,187"
Pepin,"1,215",41.72%,"1,697",58.28%,0,0.00%,−482,−16.56%,"2,912"
Pierce,"8,096",48.75%,"8,504",51.21%,7,0.04%,−408,−2.46%,"16,607"
Polk,"7,400",39.88%,"11,157",60.12%,0,0.00%,"−3,757",−20.24%,"18,557"
Portage,"17,476",57.67%,"12,812",42.28%,13,0.05%,"4,664",15.39%,"30,301"
Price,"2,459",38.88%,"3,865",61.12%,0,0.00%,"−1,406",−22.24%,"6,324"
Racine,"37,235",50.57%,"36,323",49.34%,66,0.09%,912,0.91%,"73,624"
Richland,"3,309",52.07%,"3,043",47.88%,3,0.05%,266,4.19%,"6,355"
Rock,"35,186",61.19%,"22,268",38.73%,47,0.08%,"12,918",22.46%,"57,501"
Rusk,"2,107",36.61%,"3,645",63.34%,3,0.05%,"−1,538",−26.73%,"5,755"
Sauk,"14,548",57.14%,"10,913",42.86%,0,0.00%,"3,635",14.28%,"25,461"
Sawyer,"3,464",44.96%,"4,234",54.96%,6,0.08%,−770,−10.00%,"7,704"
Shawano,"5,467",36.16%,"9,643",63.79%,7,0.05%,"−4,176",−27.63%,"15,117"
Sheboygan,"21,280",45.81%,"25,130",54.10%,38,0.09%,"−3,850",−8.29%,"46,448"
St. Croix,"18,477",45.92%,"21,738",54.02%,23,0.06%,"−3,291",−8.10%,"40,238"
Taylor,"2,176",29.25%,"5,264",70.75%,0,0.00%,"−3,088",−41.50%,"7,440"
Trempealeau,"5,068",47.04%,"5,702",52.93%,3,0.03%,−634,−5.89%,"10,773"
Vernon,"6,612",53.68%,"5,696",46.24%,10,0.08%,916,7.44%,"12,318"
Vilas,"4,572",41.09%,"6,541",58.79%,13,0.12%,"−1,969",−17.70%,"11,126"
Walworth,"18,461",43.84%,"23,620",56.09%,31,0.07%,"−5,159",−12.25%,"42,112"
Washburn,"3,129",40.42%,"4,609",59.53%,4,0.05%,"−1,480",−19.11%,"7,742"
Washington,"21,906",33.75%,"42,972",66.20%,34,0.05%,"−21,066",−32.45%,"64,912"
Waukesha,"85,130",42.30%,"116,000",57.65%,98,0.05%,"−30,870",−15.35%,"201,228"
Waupaca,"7,706",38.43%,"12,334",61.50%,14,0.07%,"−4,628",−23.07%,"20,054"
Waushara,"3,498",35.39%,"6,386",64.61%,0,0.00%,"−2,888",−29.22%,"9,884"
Winnebago,"34,605",53.49%,"30,047",46.44%,48,0.07%,"4,558",7.05%,"64,700"
Wood,"12,838",44.61%,"15,919",55.32%,21,0.07%,"−3,081",−10.71%,"28,778"
