County,"Donald Trump
Republican",,"Kamala Harris
Democratic",,"Various candidates
Other parties",,Margin,,Total
La Crosse,"32,247",44.63%,"39,008",53.98%,"1,006",1.39%,"-6,761",-9.35%,"72,261"
Lafayette,"5,256",59.51%,"3,469",39.28%,107,1.21%,"1,787",20.23%,"8,832"
Langlade,"7,782",66.72%,"3,746",32.12%,136,1.17%,"4,036",34.60%,"11,664"
Lincoln,"10,633",61.79%,"6,306",36.64%,270,1.57%,"4,327",25.15%,"17,209"
Manitowoc,"28,200",60.89%,"17,399",37.57%,717,1.55%,"10,801",23.32%,"46,316"
Marathon,"46,213",58.63%,"31,529",40.00%,"1,084",1.38%,"14,684",18.63%,"78,826"
Marinette,"16,670",68.28%,"7,415",30.37%,330,1.35%,"9,255",37.91%,"24,415"
Marquette,"6,041",64.08%,"3,252",34.50%,134,1.42%,"2,789",29.58%,"9,427"
Menominee,296,18.83%,"1,266",80.53%,10,0.64%,-970,-61.70%,"1,572"
Milwaukee,"138,022",29.74%,"316,292",68.15%,"9,793",2.11%,"-178,270",-38.41%,"464,107"
Monroe,"14,563",62.32%,"8,476",36.27%,330,1.41%,"6,087",26.05%,"23,369"
Oconto,"17,675",70.95%,"6,967",27.97%,270,1.08%,"10,708",42.98%,"24,912"
Oneida,"14,455",58.06%,"10,080",40.49%,360,1.45%,"4,375",17.57%,"24,895"
Outagamie,"60,827",54.34%,"49,438",44.17%,"1,667",1.49%,"11,389",10.17%,"111,932"
Ozaukee,"34,504",54.36%,"27,874",43.92%,"1,094",1.72%,"6,630",10.44%,"63,472"
Pepin,"2,798",64.26%,"1,523",34.98%,33,0.76%,"1,275",29.28%,"4,354"
Pierce,"14,417",56.78%,"10,171",40.06%,804,3.17%,"4,246",16.72%,"25,392"
Polk,"18,296",64.83%,"9,567",33.90%,359,1.27%,"8,729",30.93%,"28,222"
Portage,"20,987",48.52%,"21,503",49.71%,768,1.78%,-516,-1.19%,"43,258"
Price,"5,763",65.07%,"3,005",33.93%,88,0.99%,"2,758",31.14%,"8,856"
Racine,"56,347",52.33%,"49,721",46.17%,"1,618",1.50%,"6,626",6.16%,"107,686"
Richland,"5,207",55.85%,"3,985",42.74%,131,1.41%,"1,222",13.11%,"9,323"
Rock,"40,218",45.54%,"46,642",52.82%,"1,450",1.64%,"-6,424",-7.28%,"88,310"
Rusk,"5,660",68.44%,"2,516",30.42%,94,1.14%,"3,144",38.02%,"8,270"
St. Croix,"35,537",58.60%,"23,870",39.36%,"1,235",2.04%,"11,667",19.24%,"60,642"
Sauk,"18,798",50.02%,"18,172",48.35%,614,1.63%,626,1.67%,"37,584"
Sawyer,"6,422",57.65%,"4,599",41.28%,119,1.07%,"1,823",16.37%,"11,140"
Shawano,"15,850",67.45%,"7,336",31.22%,314,1.34%,"8,514",36.23%,"23,500"
Sheboygan,"38,763",57.37%,"27,735",41.05%,"1,064",1.57%,"11,028",16.32%,"67,562"
Taylor,"8,209",73.39%,"2,823",25.24%,154,1.38%,"5,386",48.15%,"11,186"
Trempealeau,"9,661",60.08%,"6,219",38.68%,199,1.24%,"3,442",21.40%,"16,079"
Vernon,"8,807",53.03%,"7,514",45.24%,288,1.73%,"1,293",7.79%,"16,609"
Vilas,"9,837",60.97%,"6,119",37.92%,179,1.11%,"3,718",23.05%,"16,135"
Walworth,"36,603",60.40%,"23,161",38.22%,833,1.37%,"13,442",22.18%,"60,597"
Washburn,"6,962",63.42%,"3,867",35.22%,149,1.36%,"3,095",28.20%,"10,978"
Washington,"61,604",67.40%,"28,504",31.18%,"1,299",1.42%,"33,100",36.22%,"91,407"
Waukesha,"162,768",59.02%,"108,478",39.33%,"4,541",1.65%,"54,290",19.69%,"275,787"
Waupaca,"20,093",66.09%,"9,947",32.72%,363,1.19%,"10,146",33.37%,"30,403"
Waushara,"9,625",67.01%,"4,571",31.82%,167,1.16%,"5,054",35.19%,"14,363"
Winnebago,"49,179",51.57%,"44,660",46.83%,"1,532",1.61%,"4,519",4.74%,"95,371"
Wood,"24,997",59.21%,"16,599",39.32%,620,1.47%,"8,398",19.89%,"42,216"
